CPU,ALMs,REGS,BMB,RAMB,FMAX1,FMAX2
torvs9p1,2854,2007,1146880,140,71.78,73.31
torvs9p2,2871,1991,1049344,130,73.36,74.06
torvs9p3,3019,2079,1146880,140,73.55,75.34
torvs9p4,3093,2095,1146880,140,68.55,69.69
torvs9p5,3009,2116,1146880,140,65.51,66.75
torvs8p1,2832,1982,1146880,140,71.68,73.29
torvs8p2,3000,2009,1146880,140,75.22,76.39
torvs8p3,3002,2051,1146880,140,74.72,75.19
torvs8p4,3139,2046,1146880,140,69.29,70.60
torvs8p5,2989,2077,1146880,140,67.04,67.99
torvs7p1,2864,1898,1048576,128,78.59,79.03
torvs7p2,2992,1959,1048576,128,73.28,73.72
torvs7p3,3009,1996,1048576,128,76.16,77.35
torvs7p4,3096,1970,1048576,128,72.26,72.85
torvs7p5,3006,2017,1048576,128,66.80,67.85
torvs6p1,2912,1910,1048576,128,72.29,72.98
torvs6p2,3016,1977,1048576,128,75.99,76.99
torvs6p3,3026,1936,1048576,128,75.99,77.29
torvs6p4,3122,1954,1048576,128,69.84,70.74
torvs6p5,3007,2013,1048576,128,68.05,69.23
torvs5p1,2836,1890,1048576,128,72.57,73.61
torvs5p2,2935,1945,1048576,128,74.67,75.47
torvs5p3,2974,1945,1048576,128,73.95,74.34
torvs5p4,3079,1974,1048576,128,68.47,69.10
torvs5p5,3001,2020,1048576,128,64.94,66.66
torvs1p1,2474,1973,1048576,128,91.80,92.63
torvs1p2,2650,2120,1048576,128,91.83,93.12
torvs1p3,2653,2096,1048576,128,89.62,91.03
torvs1p4,2721,2171,1048576,128,87.58,88.72
torvs1p5,2765,2141,1048576,128,80.41,82.43
torv1,621,690,1050624,130,89.91,90.34
torv2,712,700,1050624,130,74.74,75.30
torv3,758,705,1050624,130,74.00,74.62
torv4,755,703,1050720,132,77.77,78.03
torv5,782,797,1148928,142,71.95,73.37
torvs5Bp1,2940,1932,1048576,128,79.55,80.45
torvs5Bp3,3101,2029,1048576,128,79.48,80.48
torvs5Bp3,3098,2038,1048576,128,83.18,84.98
torvs5Bp5,3049,2046,1048576,128,71.19,72.17
torvs7Bp1,2898,1948,1048576,128,78.71,79.45
torvs7Bp3,2966,1989,1048576,128,81.21,82.23
torvs7Bp5,3048,2081,1048576,128,70.12,71.98
torvs9Bp1,2881,2054,1114112,136,80.48,82.36
torvs9Bp3,3022,2101,1114112,136,79.82,81.2
torvs9Bp4,2939,2159,1146880,140,77.07,77.71
torvs5Bp4,2950,2066,1048576,128,78.48,78.51
torvs7Bp4,2967,2070,1048576,128,77.54,78.41

torvs9Bp4,2999,2121,1114112,136,78.87,79.88
torvs9Bp3,3010,2067,1114112,136,83.09,84.63
torvs9Bp1,2871,2012,1114112,136,83.38,84.85
torvs7Bp5,3034,2043,1048576,128,70.11,71.23
