CPU,CPI,INSTRET,CYCLES,BENCH
torvs9p1,0.899,16388271,14741750,1.935
torvs9p2,0.872,16388279,14291228,1.996
torvs9p3,0.801,16388215,13140693,2.171
torvs9p4,0.746,16388180,12240471,2.331
torvs9p5,0.774,16388184,12684698,2.249
torvs8p1,0.917,16388260,15041273,1.896
torvs8p2,0.890,16388251,14590784,1.955
torvs8p3,0.820,16388214,13440307,2.122
torvs8p4,0.765,16388193,12539876,2.276
torvs8p5,0.740,16388180,12135726,2.351
torvs7p1,0.954,16388291,15647302,1.823
torvs7p2,0.927,16388331,15196788,1.877
torvs7p3,0.860,16388265,14096440,2.025
torvs7p4,0.805,16388195,13196083,2.163
torvs7p5,0.783,16388145,12844739,2.222
torvs6p1,1.101,16388376,18047430,1.580
torvs6p2,1.061,16388331,17396903,1.639
torvs6p3,0.991,16388273,16246286,1.756
torvs6p4,0.936,16388309,15345812,1.859
torvs6p5,0.902,16388238,14789834,1.928
torvs5p1,1.125,16388367,18452083,1.546
torvs5p2,1.098,16388337,18001579,1.585
torvs5p3,1.028,16388306,16851049,1.693
torvs5p4,0.973,16388276,15950516,1.789
torvs5p5,0.948,16388296,15546237,1.835
torvs1p1,1.675,16388528,27467070,1.038
torvs1p2,1.648,16388519,27016590,1.055
torvs1p3,1.572,16388499,25765996,1.107
torvs1p4,1.529,16388510,25066912,1.137
torvs1p5,1.452,16388502,23811661,1.198
torvs5p5,0.939,16388324,15394464,1.853
torvs6p5,0.902,16388238,14789834,1.928
torvs7p5,0.829,16388238,13591928,2.099
torvs8p5,0.798,16388220,13084150,2.179
